plate_number,title,date
1,Introduction to the class geography of East Asia,Jan 6
2,East Asian Language Religion Culture,Jan 8
3,What is Modernity?,Jan 10
4,Joseon Invaded,Jan 13
5,Rise of Qing Creation of Manchu Empire,Jan 15
6,Qing's Encounter with the West,Jan 17
7,Joseon Reform,Jan 22
8,Rise of Tokugawa,Jan 24
9,Final presentation brainstorm / Current events,Jan 27
10,Qing vs. the West,Jan 29
11,Tokugawa vs. the West,Jan 31
12,Meiji Transformation,Feb 3
13,Taiping and other rebellions,Feb 5
14,Tonghak Rebellion,Feb 7
15,Joseon's Slow Evolution,Feb 10
16,Tonghak in Film,Feb 12
17,Japanese Nationalism - Rise of an empire,Feb 17
18,Korean Nationalism - Rise of a nation,Feb 19
19,Chinese Nationalism - modernity at gunpoint,Feb 21
20,The Pacific War,Feb 24
21,Civil War and Revolution in China,Feb 26
22,Rebuilding Japan,Feb 28
23,Mao and Beyond Mao,March 3
24,Liberation Division Rebuilding Korea,March 5
25,Japan rises again,March 7
